,text,category,cleaned_text
1248,Can you tell me what the problem with my card is? It was declined at a restaurant today.,card_not_working,tell problem card declined restaurant today
8845,I see a cash withdrawal in the app that I did not do.,cash_withdrawal_not_recognised,see cash withdrawal app
3328,I just deposited cash to my account and can't find it!,balance_not_updated_after_cheque_or_cash_deposit,deposited cash account cant find
7695,Why do you ask for top-up verification?,verify_top_up,ask topup verification
4809,There is a transaction showing in my app that I did not make as I have not used that card all day.  Please reimburse this amount to my account.,direct_debit_payment_not_recognised,transaction showing app make used card day please reimburse amount account
6491,My source of funds need verification.,verify_source_of_funds,source fund need verification
3047,Do I get to have one of those virtual cards I've heard about?,getting_virtual_card,get one virtual card ive heard
4342,"i tried using a virtual card for a hotel but it didn't work, why not",disposable_card_limits,tried using virtual card hotel didnt work
9771,How can I prove I am me?,verify_my_identity,prove
6927,I'm travelling abroad but I've run into a situation where I need to change my PIN immediately. Can I do this from here?,change_pin,im travelling abroad ive run situation need change pin immediately
5670,"Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined, I tried couple of times already  but same thing is happening.",declined_transfer,keep declining transfer always working really well far tried buy something card got declined tried couple time already thing happening
4281,i need to top up by card.,topping_up_by_card,need top card
5268,Can you tell me what i steps i should take since my card was stolen?,lost_or_stolen_phone,tell step take since card stolen
5208,Why has my card payment not yet been applied to my account?,pending_card_payment,card payment yet applied account
2835,How long will it be  before the person I sent money to is able to see it?,transfer_not_received_by_recipient,long person sent money able see
4728,I have a direct debit on my records that is strange and I need help.,direct_debit_payment_not_recognised,direct debit record strange need help
14,It's been a week since I ordered my card and it's not here. Please help?,card_arrival,week since ordered card please help
3104,What retailers accept my card?,card_acceptance,retailer accept card
9491,I have a strange transaction on my account which appears to pertain to a cash withdrawal I made outside Nandos in Leeds.  What is that for?  Is it fraud?,cash_withdrawal_charge,strange transaction account appears pertain cash withdrawal made outside nandos leeds fraud
8066,Please tell me how I can receive a physical card,order_physical_card,please tell receive physical card
156,I just got my card.  It's not linked yet--how do I do that?,card_linking,got card linked yethow
5047,Why am I unable to withdraw my money through this card?,declined_cash_withdrawal,unable withdraw money card
2331,Why did I only receive a partial amount of what I tried to withdraw?,wrong_amount_of_cash_received,receive partial amount tried withdraw
4759,I didn't make the direct debit payment on my account.,direct_debit_payment_not_recognised,didnt make direct debit payment account
8718,"Hi. About two hours ago I made a transfer from my bank which is in the UK, but I don't see it yet! Would you check what's going on with it, please?",balance_not_updated_after_bank_transfer,hi two hour ago made transfer bank uk dont see yet would check whats going please
5081,I am unable to get cash from the ATM,declined_cash_withdrawal,unable get cash atm
1579,Could I open an account for children?,age_limit,could open account child
6969,Can I change my PIN online?,change_pin,change pin online
4896,I've forgotten my app passcode completely.,passcode_forgotten,ive forgotten app passcode completely
4424,What are the rules for using disposable virtual cards?,disposable_card_limits,rule using disposable virtual card
3227,"HI,Accordingly you offer crypto top up but it doesn't seem to be working? Money just disappeared from my account.What should be done now?",top_up_reverted,hiaccordingly offer crypto top doesnt seem working money disappeared accountwhat done
5990,I can't figure out why a transfer is still pending?,pending_transfer,cant figure transfer still pending
6681,I must make a transfer from China and it is urgent. How long before the transfer is complete?,transfer_timing,must make transfer china urgent long transfer complete
8870,"There are incorrect charges on my account, there was a WD that was made by someone else.  I still have my card though.",cash_withdrawal_not_recognised,incorrect charge account wd made someone else still card though
5102,I made a payment with my card and it hasn't changed. How long do you think this will take?,pending_card_payment,made payment card hasnt changed long think take
1429,Can I exchange currencies with the app?,exchange_via_app,exchange currency app
613,Why was I charged $1 in a transaction?,extra_charge_on_statement,charged transaction
5619,Why are my transfers and purchases keep getting declined?,declined_transfer,transfer purchase keep getting declined
8293,How can I get money in my home currency while I'm traveling internationally? I wanted to take it out of a local ATM but am worried that I will get charged extra fees.,wrong_exchange_rate_for_cash_withdrawal,get money home currency im traveling internationally wanted take local atm worried get charged extra fee
9531,"If I am in China, can I still order a new card and if so, how?",card_about_to_expire,china still order new card
4190,Can I get both a Visa and a Mastercard from you?,visa_or_mastercard,get visa mastercard
9058,I need to exchange some foreign currency. What's the charge for doing that?,exchange_charge,need exchange foreign currency whats charge
6004,Hi I am trying to transfer money to another country but it is showing pending and it has been a long time.  I have checked numbers and they are correct.  Could you please help?,pending_transfer,hi trying transfer money another country showing pending long time checked number correct could please help
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,week since issued card still didnt get keep waiting
1580,What does my daughter need to open an account?,age_limit,daughter need open account
1011,How long is the wait for my card?,card_delivery_estimate,long wait card
5572,Why was one of my transfers declined?,declined_transfer,one transfer declined
5886,Why didn;t my payment work,declined_card_payment,didnt payment work
7084,"I normally have no issues making transfers, so why am I suddenly being told it is not possible?",beneficiary_not_allowed,normally issue making transfer suddenly told possible
723,I had to pay one pound more than the set price!,extra_charge_on_statement,pay one pound set price
4026,Where is the PIN for my card located?,get_physical_card,pin card located
6225,I am very dissatisfied with the services that you are providing.  I want to cancel my account.,terminate_account,dissatisfied service providing want cancel account
7831,What is the price for an additional card?,getting_spare_card,price additional card
7659,How do I deposit through bank transfer?,transfer_into_account,deposit bank transfer
7411,Can I receive payment in another currency?,receiving_money,receive payment another currency
9675,Can I top-up via Apple Pay?,apple_pay_or_google_pay,topup via apple pay
888,How many currencies can I have?,fiat_currency_support,many currency
3975,I have trouble proving my identity.,unable_to_verify_identity,trouble proving identity
546,The exchange rate is incorrect on an item I recently purchased in a foreign country.,card_payment_wrong_exchange_rate,exchange rate incorrect item recently purchased foreign country
2249,Tell me if there is a limit to top-up.,top_up_limits,tell limit topup
6708,what is the time frame for transfers,transfer_timing,time frame transfer
449,You did not give me the correct exchange rate for an item that I bought.,card_payment_wrong_exchange_rate,give correct exchange rate item bought
9118,Are there fees for using an international card to top up?,top_up_by_card_charge,fee using international card top
9351,Why am I charged a fee for withdrawing cash?,cash_withdrawal_charge,charged fee withdrawing cash
2647,A fee that shouldn't be there is there after using my card!,card_payment_fee_charged,fee shouldnt using card
905,Can you tell me the names of the fiat currencies that I can use at your institution?,fiat_currency_support,tell name fiat currency use institution
3822,Can I use my account although the identity verification has not been accepted yet?,why_verify_identity,use account although identity verification accepted yet
8093,Where do I go to order my card?,order_physical_card,go order card
9734,What services can I use to top up?,apple_pay_or_google_pay,service use top
6091,I am having to wait for my transfer to be fully processed. It seems to be taking a very long time in the pending phase. What is the normal turn around time that I can expect to see it completed?,pending_transfer,wait transfer fully processed seems taking long time pending phase normal turn around time expect see completed
2758,Why hasn't my friend received the money i sent them yet?,transfer_not_received_by_recipient,hasnt friend received money sent yet
5786,I cannot view the refunded amount in my account.,Refund_not_showing_up,cannot view refunded amount account
8318,The applied exchange rate is wrong for the cash I got abroad.,wrong_exchange_rate_for_cash_withdrawal,applied exchange rate wrong cash got abroad
7609,I'd like to know how transferring my money into my account works.,transfer_into_account,id like know transferring money account work
3568,I saw a payment come out of my account for a merchant I don't remember.,card_payment_not_recognised,saw payment come account merchant dont remember
8164,What fees are charged for a physical card?,order_physical_card,fee charged physical card
7154,Why can't I buy cryptocurrency on the app?,beneficiary_not_allowed,cant buy cryptocurrency app
8234,I believe I got a wrong exchange rate when I got cash.,wrong_exchange_rate_for_cash_withdrawal,believe got wrong exchange rate got cash
7289,"After reviewing my charges, I see I was charged a fee for a transfer I did, why?",transfer_fee_charged,reviewing charge see charged fee transfer
6172,I'd like to delete my account.,terminate_account,id like delete account
7254,"I've use my accounts all the time to manage my payments for my place abroad that I just got. I now see that I suddenly have new fees.I'm a frequent customer, so why are you charging me new fees instead of rewarding me?",transfer_fee_charged,ive use account time manage payment place abroad got see suddenly new feesim frequent customer charging new fee instead rewarding
3979,Why hasn't the app verified my identity?,unable_to_verify_identity,hasnt app verified identity
5691,I keep checking my statements but nothing shows up. I requested a refund a long time ago but seems it's not reaching my account for some reason. Would you please help me get the money back from the seller.,Refund_not_showing_up,keep checking statement nothing show requested refund long time ago seems reaching account reason would please help get money back seller
276,Can I link your physical card,card_linking,link physical card
5468,I'm going to cancel a purchase.,request_refund,im going cancel purchase
2861,Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet.,transfer_not_received_by_recipient,hasnt country transfer gone yet confirmed account info couple day ago payment hasnt posted yet
4005,My pin isn't here yet,get_physical_card,pin isnt yet
923,What fiat currencies are used with holdings and exchanges?,fiat_currency_support,fiat currency used holding exchange
5681,why cant you just refund me instead of a merchant,Refund_not_showing_up,cant refund instead merchant
4096,Where do I find my PIN for my new card?,get_physical_card,find pin new card
6726,Tell me why my card payment would be reverted.,reverted_card_payment?,tell card payment would reverted
3125,Is there a list of where I can use my card?,card_acceptance,list use card
7664,I want to transfer money from another account into this one.,transfer_into_account,want transfer money another account one
4797,I do not recognize a direct debit payment that I see on my app,direct_debit_payment_not_recognised,recognize direct debit payment see app
4849,I would like to better understand why my pass-code is not working.,passcode_forgotten,would like better understand passcode working
4138,My preference is Mastercard.,visa_or_mastercard,preference mastercard
8987,My currencies needed to be exchanged often and I was wondering if there were any discounts available for this?,exchange_charge,currency needed exchanged often wondering discount available
6204,"I don't want this account anymore, how do I delete it?",terminate_account,dont want account anymore delete
2513,Why am I being a charged for using my card?,card_payment_fee_charged,charged using card
2180,is it possible to cancel transactions?,cancel_transfer,possible cancel transaction
6892,Can I change my PIN at my local bank?,change_pin,change pin local bank
2024,When will my top-up be completed?,pending_top_up,topup completed
8188,My virtual car is not working.,virtual_card_not_working,virtual car working
8745,I transferred some money but the balance stayed the same.,balance_not_updated_after_bank_transfer,transferred money balance stayed
4957,The ATM keeps declining my Transaction . I tried two different ATMs already can you please check if everything is okay with my account?,declined_cash_withdrawal,atm keep declining transaction tried two different atm already please check everything okay account
2691,Do you have charges now when you pay with a card?,card_payment_fee_charged,charge pay card
8844,There is unexpected money in my account.,cash_withdrawal_not_recognised,unexpected money account
3335,I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.,balance_not_updated_after_cheque_or_cash_deposit,tried updating balance cheque yesterday doesnt seem working shouldnt faster please check account something gone wrong
5797,My refund isn't showing up on my statement.,Refund_not_showing_up,refund isnt showing statement
8046,Do you accept cheques for top ups?,top_up_by_cash_or_cheque,accept cheque top ups
9632,My card is almost expired.  How fast will I get a new one and what is the cost?,card_about_to_expire,card almost expired fast get new one cost
3903,The app is having trouble verifying my identity.,unable_to_verify_identity,app trouble verifying identity
9372,"I am not supposed to be charged a cash withdrawal fee, but I was.",cash_withdrawal_charge,supposed charged cash withdrawal fee
798,How do I get my cash withdrawal to show?,pending_cash_withdrawal,get cash withdrawal show
3461,where is my money from this morning,balance_not_updated_after_cheque_or_cash_deposit,money morning
8497,The top-up I ordered didn't process.,top_up_failed,topup ordered didnt process
5509,I bought something and now I want a refund.,request_refund,bought something want refund
1151,Can I set automatic top ups?,automatic_top_up,set automatic top ups
2821,My transfer didn't arrive to the recipient,transfer_not_received_by_recipient,transfer didnt arrive recipient
3996,Where can I get my card PIN?,get_physical_card,get card pin
2078,Am I able to cancel a transfer I just made,cancel_transfer,able cancel transfer made
6152,How do I close my account?,terminate_account,close account
2932,Which credit card top-ups do you accept?,supported_cards_and_currencies,credit card topups accept
6349,I have duplicate charges for the same transaction,transaction_charged_twice,duplicate charge transaction
6377,I was charged multiple times for one transaction.,transaction_charged_twice,charged multiple time one transaction
5764,Why isn't my refund showing up?,Refund_not_showing_up,isnt refund showing
4467,Someone might be using my card that is not me.,compromised_card,someone might using card
5800,I keep checking my statements but nothing shows up.I requested a refund a long time ago but seems like it's not submitting my account for some reason. Can you please help me get the money back from the seller for me,Refund_not_showing_up,keep checking statement nothing show upi requested refund long time ago seems like submitting account reason please help get money back seller
2007,i have a pending top-up,pending_top_up,pending topup
3732,I just got married and I need to change my name,edit_personal_details,got married need change name
2014,Did I do something incorrectly? Where is my top-up?,pending_top_up,something incorrectly topup
2742,Why hasn't the transaction I did to my friend arrived yet?,transfer_not_received_by_recipient,hasnt transaction friend arrived yet
3456,I attempted to deposit a cheque yesterday but the balance isn't showing today. Is it still pending?,balance_not_updated_after_cheque_or_cash_deposit,attempted deposit cheque yesterday balance isnt showing today still pending
6633,How long do I have to wait for Europe transfers?,transfer_timing,long wait europe transfer
360,What factors effect the exchange rate?,exchange_rate,factor effect exchange rate
8038,What's the best way to use a cheque to top up?,top_up_by_cash_or_cheque,whats best way use cheque top
6961,I would like to change the the PIN on my card.,change_pin,would like change pin card
2795,How long should it take for a transfer to go through? I have been waiting a while.,transfer_not_received_by_recipient,long take transfer go waiting
3103,What businesses accept this card?,card_acceptance,business accept card
3430,I deposited a cheque but I don't see the funds in my account.,balance_not_updated_after_cheque_or_cash_deposit,deposited cheque dont see fund account
6378,I got charged twice with a duplicate card. How do I resolve this?,transaction_charged_twice,got charged twice duplicate card resolve
7514,My transfer is failing when I try to do it.,failed_transfer,transfer failing try
6531,I need to see where my money came from.,verify_source_of_funds,need see money came
4617,Where can I find a Mastercard ATM?,atm_support,find mastercard atm
5376,Can I request a refund,request_refund,request refund
2274,How many times can I make a top-up?,top_up_limits,many time make topup
9622,My card is about to expire. Do I have to go to a branch to order a new card?,card_about_to_expire,card expire go branch order new card
2040,It's been some time since refilled the top-up.,pending_top_up,time since refilled topup
2481,I was only given $20 when I tried to get $100,wrong_amount_of_cash_received,given tried get
5701,There is a refund missing.,Refund_not_showing_up,refund missing
8359,I got some cash out of the ATM over the holiday and it seems that I've been grossly overcharged. I wouldn't have done that if I knew of these outrageous charges!,wrong_exchange_rate_for_cash_withdrawal,got cash atm holiday seems ive grossly overcharged wouldnt done knew outrageous charge
3134,Is there restrictions on where I can use my card?,card_acceptance,restriction use card
7010,Why was I not allowed to do a transfer to a beneficiary?,beneficiary_not_allowed,allowed transfer beneficiary
5216,I completed a payment with my card a while ago. It's still showing up as pending. What time frame does this normally take? It doesn't appear to have worked.,pending_card_payment,completed payment card ago still showing pending time frame normally take doesnt appear worked
7943,Is there anyway to use a cheque to top up?,top_up_by_cash_or_cheque,anyway use cheque top
7716,How do I verify the top-up?,verify_top_up,verify topup
8073,Do physical cards cost money?,order_physical_card,physical card cost money
641,I was charged an extra pound for no reason. Why is that?,extra_charge_on_statement,charged extra pound reason
3345,I have made a recent check and cash deposit that isn't reflected in my balance.,balance_not_updated_after_cheque_or_cash_deposit,made recent check cash deposit isnt reflected balance
5801,"Three months ago I bought a new house for my cat, fluffy.  Unfortunately Fluffy was not a fan of the house and it had to be returned to Pet Smart last week.  They said they have sent a refund but it's not there, can you tell me where it is?",Refund_not_showing_up,three month ago bought new house cat fluffy unfortunately fluffy fan house returned pet smart last week said sent refund tell
5642,I tried to buy something online yesterday but it kept saying declined. Tried again today but same thing happened. What's wrong?,declined_transfer,tried buy something online yesterday kept saying declined tried today thing happened whats wrong
6221,I'm dissatisfied with the service and would like to terminate the account.,terminate_account,im dissatisfied service would like terminate account
5918,My card did not work at store.,declined_card_payment,card work store
6303,What are the steps I should take to recover my swallowed card?,card_swallowed,step take recover swallowed card
5711,How can I investigate a missing refund?,Refund_not_showing_up,investigate missing refund
744,Why is my ATM withdrawal still pending?,pending_cash_withdrawal,atm withdrawal still pending
2058,Can you please sort out your top up? I need this to go through asap because I really need the money. It's already been pending for an hour.,pending_top_up,please sort top need go asap really need money already pending hour
4205,How can I get a Visa and Mastercard?,visa_or_mastercard,get visa mastercard
5392,Is there a way you can have money from a purchase I made refunded to my account.,request_refund,way money purchase made refunded account
1533,"I lost my card, what do I do now?",lost_or_stolen_card,lost card
2108,I need to cancel a transfer I made.,cancel_transfer,need cancel transfer made
5961,Why wasn't my card payment accepted?,declined_card_payment,wasnt card payment accepted
9888,Which countries do you operate in,country_support,country operate
7941,where can i deposit a check,top_up_by_cash_or_cheque,deposit check
7588,I need to deposit money to my account,transfer_into_account,need deposit money account
8500,"I did a bank transfer to top up, but the money is not available.",top_up_failed,bank transfer top money available
920,Are there limitations to what currency I can hold?,fiat_currency_support,limitation currency hold
31,I would like to track the card you sent to me.,card_arrival,would like track card sent
7694,I am having trouble finding the top-up card verification code.,verify_top_up,trouble finding topup card verification code
4044,Where's my card PIN?,get_physical_card,wheres card pin
8303,I found the exchange rate for my cash withdrawal is wrong,wrong_exchange_rate_for_cash_withdrawal,found exchange rate cash withdrawal wrong
1033,When shipped to the US how long is delivery time?,card_delivery_estimate,shipped u long delivery time
304,Do you have the best exchange rate?,exchange_rate,best exchange rate
8918,"Someone has access to my card info.  I still have the card, but someone just withdrew cash.  How do I get this corrected/stopped?!",cash_withdrawal_not_recognised,someone access card info still card someone withdrew cash get correctedstopped
4583,I need an ATM right now!,atm_support,need atm right
4334,How do I use my card to top up?,topping_up_by_card,use card top
6819,Why is my card payment cancelled?,reverted_card_payment?,card payment cancelled
1205,I want to use auto top-up. Is there a limit?,automatic_top_up,want use auto topup limit
5813,Is there a reason my refund isn't showing on my statement?,Refund_not_showing_up,reason refund isnt showing statement
2549,Why is this fee being charged to me after using my card?,card_payment_fee_charged,fee charged using card
9582,"My card expires soon, will you send me one automatically?",card_about_to_expire,card expires soon send one automatically
5150,"After I make a payment, how long will it be before it transitions from ""pending"" to complete?",pending_card_payment,make payment long transition pending complete
5121,I notice there's a pending payment on my card.,pending_card_payment,notice there pending payment card
9574,My card expires very soon.  What is the cost and delivery time to get a new one?,card_about_to_expire,card expires soon cost delivery time get new one
9324,How do I activate my new card,activate_my_card,activate new card
7476,Why can I not make a transfer?,failed_transfer,make transfer
1483,"Hi, I am on vacation in Spain and someone stole my bag with my phone and wallet with cards and everything. Can you block it ASAP and then I want to order a new one also ASAP.",lost_or_stolen_card,hi vacation spain someone stole bag phone wallet card everything block asap want order new one also asap
1161,How can I Use thereto-top option?,automatic_top_up,use theretotop option
6055,How come I have pending transfers?,pending_transfer,come pending transfer
9806,What do I need in regards to identification?,verify_my_identity,need regard identification
8964,How much to exchange currencies?,exchange_charge,much exchange currency
1138,Is an auto top-up option available?,automatic_top_up,auto topup option available
3564,I need to figure out who has access to my card there are some payments I didn't make that are showing on the app.  Could you please help?,card_payment_not_recognised,need figure access card payment didnt make showing app could please help
8061,"I would like to get a physical card, but I don't know how. Can you help me?",order_physical_card,would like get physical card dont know help
9073,Does it cost money to top up?,top_up_by_card_charge,cost money top
9471,Why did I get charged for withdrawing cash?,cash_withdrawal_charge,get charged withdrawing cash
3417,Why did the cash deposit not show up in my account?,balance_not_updated_after_cheque_or_cash_deposit,cash deposit show account
2088,"I accidentally made a payment from the wrong account yesterday. It's my rent payment, and it's very large, so the account I paid from won't be able to cover the amount. It's really important that the payment be made from the right account?",cancel_transfer,accidentally made payment wrong account yesterday rent payment large account paid wont able cover amount really important payment made right account
20,"On the card that is coming, what's the tracking info?",card_arrival,card coming whats tracking info
2366,my cash balance less than what I thought,wrong_amount_of_cash_received,cash balance le thought
4448,What are my limits on disposable cards?,disposable_card_limits,limit disposable card
5638,Why did I get declined during a transfer?,declined_transfer,get declined transfer
3490,"There are a couple payments with my card shown in the app that i really didn't make myself. What's going on with this, does someone has access to my card?!",card_payment_not_recognised,couple payment card shown app really didnt make whats going someone access card
2236,Can I increase my top-up maximum?,top_up_limits,increase topup maximum
1593,I have young kids. Can they use this service?,age_limit,young kid use service
5405,Please could you give me a refund,request_refund,please could give refund
9089,What is the fee if I use a European bank for a top up?,top_up_by_card_charge,fee use european bank top
372,How are the exchange rates determined?,exchange_rate,exchange rate determined
4296,Show me how can my friends top up my account.,topping_up_by_card,show friend top account
4649,There was some money taken from my account that I don't remember paying for. Am I able to look up this transaction which was a few weeks ago to see who took out the money? Im not sure I need a refund just want to check to make sure it's legit.,direct_debit_payment_not_recognised,money taken account dont remember paying able look transaction week ago see took money im sure need refund want check make sure legit
9542,Where can I have a new bank card sent to China?,card_about_to_expire,new bank card sent china
6361,I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back.,transaction_charged_twice,noticed account double charged couple item week please review refund double charged item back
2803,Why is my transaction taking so long to complete?,transfer_not_received_by_recipient,transaction taking long complete
9394,I just had a look at my statement. Why have I been changed for using the ATM?,cash_withdrawal_charge,look statement changed using atm
8069,Can I order a card please?,order_physical_card,order card please
2732,I am just waiting on the completion of the transaction.,transfer_not_received_by_recipient,waiting completion transaction
384,How did you guys get your exchange rate?,exchange_rate,guy get exchange rate
4478,What can I do if my card details where stolen from my car? I think they used my card to buy gas.,compromised_card,card detail stolen car think used card buy gas
188,"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking,want reactivate card thought lost found morning
4045,How do I set my physical card PIN?,get_physical_card,set physical card pin
1472,Does the app allow for exchanges between currencies?,exchange_via_app,app allow exchange currency
320,Where are you getting your exchange rates from?,exchange_rate,getting exchange rate
4661,There was a charge made on my card from a couple weeks ago and I don't remember making the purchase. Nor do I remember the company itself. Can we trace this at all to confirm if I did it or not?,direct_debit_payment_not_recognised,charge made card couple week ago dont remember making purchase remember company trace confirm
1449,How can I change the currency I'm exchanging from AUD to GBP?,exchange_via_app,change currency im exchanging aud gbp
2906,What currencies can I use?,supported_cards_and_currencies,currency use
498,My card payment has the wrong exchange rate,card_payment_wrong_exchange_rate,card payment wrong exchange rate
5372,How long does it take to get a refund on something I bought?,request_refund,long take get refund something bought
9363,"Why am I being charged for ATM cash withdrawals? The only reason I use it is because it's been free! Now you expect me to pay for them, and how much is that going to cost me?",cash_withdrawal_charge,charged atm cash withdrawal reason use free expect pay much going cost
7316,I should not have been charged a fee for my transfer.,transfer_fee_charged,charged fee transfer
4208,"Please give me both Visa and MasterCard, is it possible?",visa_or_mastercard,please give visa mastercard possible
1841,Will I be charged for a top off transfer?,top_up_by_bank_transfer_charge,charged top transfer
4857,I've forgotten my passcode. Can I reset?,passcode_forgotten,ive forgotten passcode reset
4508,What do I do if I believe to be a victim of credit card fraud?,compromised_card,believe victim credit card fraud
2095,I want to revert a transaction I did this morning,cancel_transfer,want revert transaction morning
3902,This stupid system is not letting me prove my identity.,unable_to_verify_identity,stupid system letting prove identity
9092,Are there any charges for European bank card for top up?,top_up_by_card_charge,charge european bank card top
7509,"I tried to make a transfer, but it didn't work.",failed_transfer,tried make transfer didnt work
1314,Can you tell me why I can't make any transactions?,card_not_working,tell cant make transaction
6279,I cannot get my card out of the ATM.,card_swallowed,cannot get card atm
6815,My card payment's cancelled,reverted_card_payment?,card payment cancelled
3180,"My top-up was supposed to be done, but now the money is gone! Is there a glitch in your system?",top_up_reverted,topup supposed done money gone glitch system
2946,What type of card can I use to top up?,supported_cards_and_currencies,type card use top
3994,"I'm not sure what to do about the PIN, because I don't have one yet.",get_physical_card,im sure pin dont one yet
9643,How do I get a new expiration date?,card_about_to_expire,get new expiration date
5332,"I no longer have my phone with the app, what should I do?",lost_or_stolen_phone,longer phone app
1377,"Instead of GBP, how do I exchange for AUD?",exchange_via_app,instead gbp exchange aud
748,How long does it take to verify a cash withdraw?,pending_cash_withdrawal,long take verify cash withdraw
4324,Where did my top-up go? I can't find it in my wallet,topping_up_by_card,topup go cant find wallet
3752,I would like to edit my personal information .,edit_personal_details,would like edit personal information
8350,"My ATM transaction shorted me on cash, and I think the exchange rate was wrong. Did I receive the correct rate?",wrong_exchange_rate_for_cash_withdrawal,atm transaction shorted cash think exchange rate wrong receive correct rate
1893,What are the additional charges for a SWIFT transfer?,top_up_by_bank_transfer_charge,additional charge swift transfer
6768,I had a payment reverted and would like to figure out why.,reverted_card_payment?,payment reverted would like figure
2028,I tried topping up for the first time today since I am a new customer. It doesn't appear that it's working. It has been pending for at least half an hour. Please take care of this.,pending_top_up,tried topping first time today since new customer doesnt appear working pending least half hour please take care
1896,How much would it cost me for a bank transfer to top up my account?,top_up_by_bank_transfer_charge,much would cost bank transfer top account
5819,My refund is not here yet,Refund_not_showing_up,refund yet
6441,How come there is a duplicate charge on my card?,transaction_charged_twice,come duplicate charge card
2432,Why didn't I get the amount I requested at the ATM?,wrong_amount_of_cash_received,didnt get amount requested atm
8934,Help!  There is a cash withdrawl on the account that I didn't make!,cash_withdrawal_not_recognised,help cash withdrawl account didnt make
8322,I think the exchange rate for the cash I withdrew was wrong.,wrong_exchange_rate_for_cash_withdrawal,think exchange rate cash withdrew wrong
9955,How do I know which countries you provide service in?,country_support,know country provide service
8486,I believe my top up has failed,top_up_failed,believe top failed
9268,How do I active this card?,activate_my_card,active card
7184,Why is there a charge for my transfer?,transfer_fee_charged,charge transfer
4751,Please help me regarding a direct debit in the app that I don't recognize.,direct_debit_payment_not_recognised,please help regarding direct debit app dont recognize
9515,Are there any express fees if i want my new card faster?,card_about_to_expire,express fee want new card faster
218,How do I add a card on to the app?,card_linking,add card app
2270,How often can I top up?,top_up_limits,often top
8925,i didnt put that money in my account,cash_withdrawal_not_recognised,didnt put money account
2851,"I just transferred my friend money, but she hasn't received it yet, and it's been a few hours. Can you tell me when to expect it to go through?",transfer_not_received_by_recipient,transferred friend money hasnt received yet hour tell expect go
293,Will my money be of equal value when I travel abroad?,exchange_rate,money equal value travel abroad
2200,I recently made a transfer but I need to cancel it as soon as possible.  Please let me know when this happens.,cancel_transfer,recently made transfer need cancel soon possible please let know happens
4646,I see a direct debit transaction in my history that I did not set up.,direct_debit_payment_not_recognised,see direct debit transaction history set
1004,Which flat currencies do you support for holding and exchange?,fiat_currency_support,flat currency support holding exchange
628,"In my statement, I got a €1 extra fee.",extra_charge_on_statement,statement got extra fee
6083,I wanted to know why there is a transfer of mine pending.,pending_transfer,wanted know transfer mine pending
1871,Is there a charge for getting my money?,top_up_by_bank_transfer_charge,charge getting money
9669,Am I able to top up with Apple Pay?,apple_pay_or_google_pay,able top apple pay
3890,Can i make transactions before identity verification?,why_verify_identity,make transaction identity verification
8851,I hope you can help me. Someone has stolen my wallet and now I have noticed that they have been taking money from my account.,cash_withdrawal_not_recognised,hope help someone stolen wallet noticed taking money account
3552,Why is this payment on my app,card_payment_not_recognised,payment app
3868,Is there anyway to bypass identity verification?,why_verify_identity,anyway bypass identity verification
9147,Would I be charged any fees if I added money to my account using an international card?,top_up_by_card_charge,would charged fee added money account using international card
1366,What currencies can be exchanged in the app?,exchange_via_app,currency exchanged app
5153,There is a payment that has not processed.,pending_card_payment,payment processed
2755,I am just waiting for the transaction to be completed.,transfer_not_received_by_recipient,waiting transaction completed
5040,I was declined when I tried to withdraw cash!,declined_cash_withdrawal,declined tried withdraw cash
4084,When do I get my card PIN?,get_physical_card,get card pin
741,Why is the cash withdrawal under pending?,pending_cash_withdrawal,cash withdrawal pending
5243,My purchases from this morning still have pending payments.,pending_card_payment,purchase morning still pending payment
4129,is it ok if i use both visa and mastercard,visa_or_mastercard,ok use visa mastercard
6845,Why would my card payment be reverted?,reverted_card_payment?,would card payment reverted
2439,Why did I get less cash than what I asked in the ATM?,wrong_amount_of_cash_received,get le cash asked atm
5855,Can you tell me why my card is not working? I keep trying to use it but it keeps rejecting my payment. I am being careful and entering the info correctly but it still happens.,declined_card_payment,tell card working keep trying use keep rejecting payment careful entering info correctly still happens
1221,"I heard you have an auto-top up option, where do I find that?",automatic_top_up,heard autotop option find
3432,I am still waiting for the cash to be returned from a cheque I deposited!,balance_not_updated_after_cheque_or_cash_deposit,still waiting cash returned cheque deposited
1641,"I need to set up an account for my daughter, how would I do that?",age_limit,need set account daughter would
6573,Show me the source of my money.,verify_source_of_funds,show source money
598,I checked my account today and saw that I was charged an extra pound that I did not spend.,extra_charge_on_statement,checked account today saw charged extra pound spend
5115,"It says ""pending payment?"" Why is it saying this?",pending_card_payment,say pending payment saying
1756,How many incorrect attempts cause card to be blocked?,pin_blocked,many incorrect attempt cause card blocked
9264,What is the process for activating my new card?,activate_my_card,process activating new card
9278,Show me how to activate my card,activate_my_card,show activate card
